Genero;Gender_PA_Ratio;Total_prev
Mujer;0,107428511;0,485199222
Mujer;-0,04804461;0,427100075
Mujer;-0,090446106;-0,167636291
Mujer;-0,055450797;-0,272994428
Mujer;0,183616633;-0,129046663
Mujer;-0,229148941;0,446714122
Mujer;0,047170529;-0,312669945
Mujer;0,380084301;-0,154844203
Mujer;0,003052894;-0,70808568
Mujer;0,053490932;-0,005985347
Mujer;0,118962046;0,008022966
Mujer;0,00609042;-0,173461527
Mujer;-0,148348518;-0,234495094
Mujer;0,077658152;0,389229129
Mujer;-0,076744694;0,637909175
Mujer;0,120377191;-0,124657051
Mujer;-0,082316357;0,465327445
Mujer;0,13025251;-0,278924829
Mujer;-0,092300854;-0,43845996
Mujer;0,068745745;0,225750868
Mujer;0,085403395;0,08181596
Mujer;-0,065389588;0,22605973
Mujer;-0,054347973;-0,192712714
Mujer;0,166933653;-0,02472398
Mujer;-0,205865379;0,374625221
Mujer;-0,074533665;0,235493277
Mujer;-0,177063645;-0,260875705
Mujer;-0,012939631;0,547523161
Mujer;0,240214975;-0,216388667
Mujer;0,927987325;-1,131527395
Mujer;-0,342969016;-0,702725312
Mujer;0,001203832;-0,093588774
Mujer;0,110655525;-0,27724053
Mujer;0,064249892;0,210552642
Mujer;-0,200029716;0,104869574
Mujer;0,079219143;-0,326186859
Mujer;-0,031953509;-0,185988814
Mujer;0,198707725;-0,920108092
Mujer;-0,000619373;0,487335162
Mujer;-0,25009288;0,943937947
Mujer;0,22556642;-0,731224538
Mujer;0,588772137;-0,374096461
Mujer;0,421000356;-0,48192214
Mujer;0,264299107;-0,086391285
Mujer;-0,308800036;0,56822775
Mujer;-0,156354826;-0,397531477
Mujer;0,217037652;-0,633075376
Mujer;-0,063730239;0,966080255
Mujer;-0,049104581;0,006501487
Mujer;-0,695485422;0,232500365
Mujer;-0,346666998;1,000202172
Mujer;-0,145295859;0,534101335
Mujer;0,174780962;-0,389629777
Mujer;0,05460053;-0,211906978
Mujer;0,333479627;-0,281478751
Mujer;-0,087071528;-0,284495152
Mujer;0,278277256;-0,510874938
Mujer;1,276038504;-1,305229637
Mujer;-0,073656248;0,541335877
Mujer;-0,013071343;-0,127537435
Mujer;0,604833518;-0,410303639
Mujer;-0,186209513;0,111204005
Mujer;-0,194745884;0,492202807
Mujer;0,051706198;0,372128183
Mujer;0,165966549;-0,390505703
Mujer;-0,162286925;-0,154650306
Mujer;0,107175346;0,22948256
Mujer;0,090176848;-0,289603537
Mujer;-0,021988496;0,060234399
Mujer;-0,163009278;-0,160406174
Mujer;0,099051253;-0,095533505
Mujer;0,004528855;-0,254792654
Mujer;-0,096844792;-0,396089787
Mujer;-0,452266152;0,447541904
Mujer;-0,261244087;0,952301163
Mujer;-0,046116572;0,314254392
Mujer;0,080689328;0,580524166
Mujer;-0,200347602;0,107017802
Mujer;0,187077133;-0,061818832
Mujer;-0,149057489;0,320423057
Mujer;-0,268891244;0,821592776
Mujer;0,186067473;0,129721046
Mujer;0,219021256;0,070384263
Mujer;-0,133698054;-0,319908522
Mujer;-0,115623788;0,172291439
Mujer;-0,497238591;0,05174126
Mujer;0,214663269;-0,191068431
Mujer;-0,457332437;0,268834309
Hombre;0,101313531;0,582468225
Hombre;-0,043668782;0,328578704
Hombre;-0,092532988;-0,29819294
Hombre;-0,068587844;-0,350359196
Hombre;0,180210593;0,018053837
Hombre;-0,227421032;0,172099326
Hombre;0,044750614;-0,286861901
Hombre;0,374184195;0,210438015
Hombre;-0,004000896;-0,727854042
Hombre;0,051395763;0,016832552
Hombre;0,11291291;0,092309504
Hombre;-0,00203847;-0,185452966
