Genero;Gender_PA_Ratio;Total_prev
Mujer;-0,14567377;1931,510476
Mujer;-0,113008532;823,9409256
Mujer;-0,099198974;1757,769135
Mujer;-0,096422831;916,5799748
Mujer;-0,087226266;303,9454648
Mujer;-0,070557185;366,8592295
Mujer;-0,068462602;583,4374173
Mujer;-0,065286549;623,6679724
Mujer;-0,057451959;229,5646835
Mujer;-0,049500945;585,7202338
Mujer;-0,048604015;1731,033991
Mujer;-0,033830723;-24,90766556
Mujer;-0,032004732;549,8188243
Mujer;-0,030884814;-11,09821581
Mujer;-0,026977641;-117,724757
Mujer;-0,026600251;128,7306887
Mujer;-0,022386865;302,4788197
Mujer;-0,018981365;-288,9279742
Mujer;-0,017821415;264,479665
Mujer;-0,00969825;205,3609656
Mujer;-0,009229391;-726,2795961
Mujer;-0,006983786;272,302698
Mujer;-0,003883169;-15,80019055
Mujer;0,011587124;-853,2811223
Mujer;0,011766028;-197,7135595
Mujer;0,022968227;303,141264
Mujer;0,030580132;205,5194026
Mujer;0,030705253;-513,9478094
Mujer;0,032707165;139,425397
Mujer;0,033401302;-605,4024324
Mujer;0,054460807;-521,5317464
Mujer;0,055970509;-174,1965823
Mujer;0,057924248;-459,7962486
Mujer;0,059574944;-308,7476168
Mujer;0,062453083;-314,198327
Mujer;0,073663825;-229,9400511
Mujer;0,076441279;-167,7619307
Mujer;0,079571938;-532,8606472
Mujer;0,084608267;-579,9029549
Mujer;0,1220262;-1065,678326
Mujer;0,129040813;-921,8704342
Mujer;0,130489454;-808,8672635
Hombre;-0,14567377;1292,388605
Hombre;-0,113008532;248,3426857
Hombre;-0,099198974;1220,737065
Hombre;-0,096422831;381,8455767
Hombre;-0,087226266;-152,7579664
Hombre;-0,070557185;-19,4795595
Hombre;-0,068462602;205,5476
Hombre;-0,065286549;303,8898194
Hombre;-0,057451959;-72,08418937
Hombre;-0,049500945;351,2462099
Hombre;-0,048604015;1556,199418
Hombre;-0,033830723;-225,7987411
Hombre;-0,032004732;380,1327141
Hombre;-0,030884814;-265,5225284
Hombre;-0,026977641;-331,2285917
Hombre;-0,026600251;-49,89302644
Hombre;-0,022386865;248,3316865
Hombre;-0,018981365;-489,8675508
Hombre;-0,017821415;228,5685924
Hombre;-0,00969825;238,9303604
Hombre;-0,009229391;-1026,180518
Hombre;-0,006983786;227,8226926
Hombre;-0,003883169;-50,96332293
Hombre;0,011587124;-977,491286
Hombre;0,011766028;-143,0219484
Hombre;0,022968227;407,4234478
Hombre;0,030580132;454,1682004
Hombre;0,030705253;-518,2497378
Hombre;0,032707165;301,0674846
Hombre;0,033401302;-530,4803496
Hombre;0,054460807;-315,0028165
Hombre;0,055970509;234,9154464
Hombre;0,057924248;-116,2547207
Hombre;0,059574944;-74,86113289
Hombre;0,062453083;-191,9835442
Hombre;0,073663825;48,33935753
Hombre;0,076441279;217,036363
Hombre;0,079571938;-352,5000473
Hombre;0,084608267;-136,7108026
Hombre;0,1220262;-452,965615
Hombre;0,129040813;-417,9560519
Hombre;0,130489454;-106,5190363
