Genero;Gender_PA_Ratio;Total_prev
Hombre;-0,150336098;9,546473107
Hombre;-0,127499238;0,766857348
Hombre;-0,125331516;12,88906922
Hombre;-0,110251103;-0,632824244
Hombre;-0,109130281;11,93661964
Hombre;-0,103655203;12,80750916
Hombre;-0,099426228;8,034702259
Hombre;-0,093297193;-14,94041793
Hombre;-0,088304008;-2,935554902
Hombre;-0,085648555;6,748144306
Hombre;-0,085624854;2,250856771
Hombre;-0,082721697;6,075520798
Hombre;-0,074207884;3,714164539
Hombre;-0,059347566;5,435145085
Hombre;-0,05919842;9,420800381
Hombre;-0,058922047;8,732905199
Hombre;-0,056542766;-3,062737866
Hombre;-0,052477846;3,188132013
Hombre;-0,052024949;2,556389499
Hombre;-0,050345546;-9,406397805
Hombre;-0,045312869;5,419224667
Hombre;-0,043568807;5,946042294
Hombre;-0,041236145;3,546661148
Hombre;-0,039174071;4,261501671
Hombre;-0,03755971;0,067998347
Hombre;-0,034959492;-1,616754709
Hombre;-0,030365465;8,54445334
Hombre;-0,030344174;-0,755174288
Hombre;-0,02910764;0,94617869
Hombre;-0,024424963;8,509401004
Hombre;-0,023893643;-4,348728469
Hombre;-0,023122037;4,227538905
Hombre;-0,021530769;-8,851569342
Hombre;-0,017879644;0,926239377
Hombre;-0,017500454;2,871330827
Hombre;-0,013836927;-1,871599111
Hombre;-0,01289102;4,165116386
Hombre;-0,012086532;7,117468949
Hombre;-0,00777081;0,520105348
Hombre;-0,003899839;-10,03158855
Hombre;-0,002177804;9,202533945
Hombre;0,000746775;2,562017982
Hombre;0,003333462;4,163321114
Hombre;0,005169368;-2,350642732
Hombre;0,006340396;-5,95200859
Hombre;0,008655549;-7,259334126
Hombre;0,013108745;-10,73085834
Hombre;0,015594115;3,013422094
Hombre;0,016232888;1,013323854
Hombre;0,020137917;-5,471792114
Hombre;0,021375849;4,847970791
Hombre;0,021471001;1,729500032
Hombre;0,021483091;-5,812680103
Hombre;0,029978595;-8,835338102
Hombre;0,030425245;-0,125739672
Hombre;0,031225363;-5,377466603
Hombre;0,032675395;-9,444747463
Hombre;0,03289055;4,871064801
Hombre;0,034127997;-4,48644034
Hombre;0,034637509;-7,619285932
Hombre;0,03776773;7,875809718
Hombre;0,044187603;1,289825107
Hombre;0,048361488;0,892462899
Hombre;0,055942519;-1,246299955
Hombre;0,059842599;-13,63683854
Hombre;0,060848033;-9,083696717
Hombre;0,064765019;-0,531489731
Hombre;0,072742274;-9,373818886
Hombre;0,075457649;-8,091350662
Hombre;0,077324314;-1,519281684
Hombre;0,078701854;-8,96009784
Hombre;0,08393282;3,271048933
Hombre;0,090479264;-3,559190455
Hombre;0,101630081;6,512677349
Hombre;0,110848742;-14,92569844
Hombre;0,111360568;0,428571461
Hombre;0,151674142;3,783578231
Hombre;0,15422075;-3,449566232
Hombre;0,163296902;-3,416609946
Hombre;0,168437709;2,349388015
Hombre;0,176562577;-7,925401868
Hombre;0,302150693;-13,08222446
Mujer;-0,150336098;21,49438967
Mujer;-0,127499238;10,79941151
Mujer;-0,125331516;22,09070374
Mujer;-0,110251103;8,199051007
Mujer;-0,109130281;20,07580137
Mujer;-0,103655203;20,70892009
Mujer;-0,099426228;16,44796352
Mujer;-0,093297193;-7,351448321
Mujer;-0,088304008;3,848427035
Mujer;-0,085648555;13,44163141
Mujer;-0,085624854;8,789057053
Mujer;-0,082721697;12,64575245
